category_code,name,code,colore
E01,Surprise Party,E01-01,
E01,Kids Birthday,E01-02,
E01,Milestone,E01-03,
E01,Themed Party,E01-04,
E01,Others,E01-05,
E02,Wedding Anniversary,E02-01,
E02,First Anniversary,E02-02,
E02,Vow Renewal,E02-03,
E02,Others,E02-04,
E03,Engagement,E03-01,
E03,Pre-Wedding Photoshoot,E03-02,
E03,Haldi,E03-03,
E03,Mehndi,E03-04,
E03,Sangeet,E03-05,
E03,Reception,E03-06,
E03,Bachelor/Bachelorette Party,E03-07,
E03,Others,E03-08,
E04,Baby Shower,E04-01,
E04,Gender Reveal,E04-02,
E04,Naming Ceremony,E04-03,
E04,First Birthday,E04-04,
E04,Others,E04-05,
E05,Housewarming (Griha Pravesh),E05-01,
E05,Family Reunion,E05-02,
E05,Farewell Party,E05-03,
E05,Welcome Party,E05-04,
E05,Others,E05-05,
E06,DJ Night,E06-01,
E06,Pool Party,E06-02,
E06,Cocktail Party,E06-03,
E06,Festival Party,E06-04,
E06,New year,E06-05,
E06,Others,E06-06,
E07,Diwali,E07-01,
E07,Christmas,E07-02,
E07,Holi,E07-03,
E07,Eid,E07-04,
E07,Navratri,E07-05,
E07,Others,E07-06,
E08,Movie Screening,E08-01,
E08,Comedy Night,E08-02,
E08,Magic Show,E08-03,
E08,Dance Show,E08-04,
E08,Stand-Up Comedy,E08-05,
E08,Others,E08-06,
E09,Book Club,E09-01,
E09,Travel Meetup,E09-02,
E09,Gaming Meetup,E09-03,
E09,Others,E09-04,
E10,Stand-Up Meeting,E10-01,
E10,Board Meeting,E10-02,
E10,Client Meeting,E10-03,
E10,Strategy Meeting,E10-04,
E10,Others,E10-05,
E11,Tech Conference,E11-01,
E11,Medical Conference,E11-02,
E11,Business Summit,E11-03,
E11,Developer Conferenceon,E11-04,
E11,Others,E11-05,
E12,Coding WorkshoP,E12-01,
E12,Leadership Training,E12-02,
E12,Product Demo Training,E12-03,
E12,Others,E12-04,
E13,Product Launch,E13-01,
E13,Brand Launch,E13-02,
E13,App Release,E13-03,
E13,Others,E13-04,
E14,Office Party,E14-01,
E14,Annual Day,E14-02,
E14,CSR Event,E14-03,
E14,Team-Building Activity,E14-04,
E14,Others,E14-05,
E15,Fresher’s Party,E15-01,
E15,Farewell,E15-02,
E15,Cultural Fest,E15-03,
E15,Graduation,E15-04,
E15,Awards Ceremony,E15-05,
E15,Others,E15-06,
E16,Guest Lecture,E16-01,
E16,Debate,E16-02,
E16,Quiz Competition,E16-03,
E16,Science Exhibition,E16-04,
E16,Others,E16-05,
E17,Webinar,E17-01,
E17,Career Workshop,E17-02,
E17,Bootcamp,E17-03,
E17,Hackathon,E17-04,
E17,Others,E17-05,
E18,Baptism,E18-01,
E18,"Pooja (Satyanarayan, Lakshmi)",E18-02,
E18,Communion,E18-03,
E18,Others,E18-04,
E19,Rangoli Contest,E19-01,
E19,Garba Night,E19-02,
E19,Kite Festival,E19-03,
E19,Musical Bhajan Night,E19-04,
E19,Others,E19-05,
E20,Art Exhibition,E20-01,
E20,Photography Exhibition,E20-02,
E20,Business Expo,E20-03,
E20,Others,E20-04,
E21,Job Fair,E21-01,
E21,Property Expo,E21-02,
E21,Franchise Expo,E21-03,
E21,Vendor Meet,E21-04,
E21,Others,E21-05,
E22,Fundraising Event,E22-01,
E22,Awareness Walk,E22-02,
E22,Blood Donation Camp,E22-03,
E22,Others,E22-04,
E23,Cricket Tournament,E23-01,
E23,Football Tournament,E23-02,
E23,Chess Championship,E23-03,
E23,Others,E23-04,
E24,Yoga Session,E24-01,
E24,Zumba Session,E24-02,
E24,Marathon,E24-03,
E24,Cycling Ride,E24-04,
E24,Others,E24-05,
E25,Product Demo,E25-01,
E25,Skill Training,E25-02,
E25,Expert Talk,E25-03,
E25,Others,E25-04,
E26,Gaming Tournament,E26-01,
E26,Virtual Networking,E26-02,
E26,Others,E26-03,
E27,Podcast Live,E27-01,
E27,Music Live,E27-02,
E27,Online Class,E27-03,
E27,Others,E27-04,
